

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 11:58:09 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 9998-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 9999-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , ,       TDB-UT,
***********************************************************
$$SOE
b9934-Jan-01 00:00:00, -1906970.50000000, , , 434998.51691,
b9933-Jan-01 00:00:00, -1906605.50000000, , , 434924.59251,
b9932-Jan-01 00:00:00, -1906239.50000000, , , 434850.47189,
b9931-Jan-01 00:00:00, -1905874.50000000, , , 434776.56008,
b9930-Jan-01 00:00:00, -1905509.50000000, , , 434702.65455,
b9929-Jan-01 00:00:00, -1905144.50000000, , , 434628.75531,
b9928-Jan-01 00:00:00, -1904778.50000000, , , 434554.65990,
b9927-Jan-01 00:00:00, -1904413.50000000, , , 434480.77324,
b9926-Jan-01 00:00:00, -1904048.50000000, , , 434406.89286,
b9925-Jan-01 00:00:00, -1903683.50000000, , , 434333.01876,
b9924-Jan-01 00:00:00, -1903317.50000000, , , 434258.94858,
b9923-Jan-01 00:00:00, -1902952.50000000, , , 434185.08707,
b9922-Jan-01 00:00:00, -1902587.50000000, , , 434111.23183,
b9921-Jan-01 00:00:00, -1902222.50000000, , , 434037.38289,
b9920-Jan-01 00:00:00, -1901856.50000000, , , 433963.33792,
b9919-Jan-01 00:00:00, -1901491.50000000, , , 433889.50156,
b9918-Jan-01 00:00:00, -1901126.50000000, , , 433815.67147,
b9917-Jan-01 00:00:00, -1900761.50000000, , , 433741.84767,
b9916-Jan-01 00:00:00, -1900395.50000000, , , 433667.82793,
b9915-Jan-01 00:00:00, -1900030.50000000, , , 433594.01671,
b9914-Jan-01 00:00:00, -1899665.50000000, , , 433520.21178,
b9913-Jan-01 00:00:00, -1899300.50000000, , , 433446.41312,
b9912-Jan-01 00:00:00, -1898934.50000000, , , 433372.41859,
b9911-Jan-01 00:00:00, -1898569.50000000, , , 433298.63253,
b9910-Jan-01 00:00:00, -1898204.50000000, , , 433224.85274,
b9909-Jan-01 00:00:00, -1897839.50000000, , , 433151.07924,
b9908-Jan-01 00:00:00, -1897473.50000000, , , 433077.10993,
b9907-Jan-01 00:00:00, -1897108.50000000, , , 433003.34901,
b9906-Jan-01 00:00:00, -1896743.50000000, , , 432929.59437,
b9905-Jan-01 00:00:00, -1896378.50000000, , , 432855.84602,
b9904-Jan-01 00:00:00, -1896012.50000000, , , 432781.90192,
b9903-Jan-01 00:00:00, -1895647.50000000, , , 432708.16615,
b9902-Jan-01 00:00:00, -1895282.50000000, , , 432634.43667,
b9901-Jan-01 00:00:00, -1894917.50000000, , , 432560.71346,
b9900-Jan-01 00:00:00, -1894551.50000000, , , 432486.79459,
b9899-Jan-01 00:00:00, -1894186.50000000, , , 432413.08397,
b9898-Jan-01 00:00:00, -1893821.50000000, , , 432339.37963,
b9897-Jan-01 00:00:00, -1893456.50000000, , , 432265.68157,
b9896-Jan-01 00:00:00, -1893090.50000000, , , 432191.78791,
b9895-Jan-01 00:00:00, -1892725.50000000, , , 432118.10244,
b9894-Jan-01 00:00:00, -1892360.50000000, , , 432044.42325,
b9893-Jan-01 00:00:00, -1891995.50000000, , , 431970.75034,
b9892-Jan-01 00:00:00, -1891629.50000000, , , 431896.88190,
b9891-Jan-01 00:00:00, -1891264.50000000, , , 431823.22158,
b9890-Jan-01 00:00:00, -1890899.50000000, , , 431749.56754,
b9889-Jan-01 00:00:00, -1890534.50000000, , , 431675.91978,
b9888-Jan-01 00:00:00, -1890168.50000000, , , 431602.07656,
b9887-Jan-01 00:00:00, -1889803.50000000, , , 431528.44138,
b9886-Jan-01 00:00:00, -1889438.50000000, , , 431454.81249,
b9885-Jan-01 00:00:00, -1889073.50000000, , , 431381.18988,
b9884-Jan-01 00:00:00, -1888707.50000000, , , 431307.37187,
b9883-Jan-01 00:00:00, -1888342.50000000, , , 431233.76185,
b9882-Jan-01 00:00:00, -1887977.50000000, , , 431160.15811,
b9881-Jan-01 00:00:00, -1887612.50000000, , , 431086.56065,
b9880-Jan-01 00:00:00, -1887246.50000000, , , 431012.76786,
b9879-Jan-01 00:00:00, -1886881.50000000, , , 430939.18298,
b9878-Jan-01 00:00:00, -1886516.50000000, , , 430865.60439,
b9877-Jan-01 00:00:00, -1886151.50000000, , , 430792.03207,
b9876-Jan-01 00:00:00, -1885785.50000000, , , 430718.26450,
b9875-Jan-01 00:00:00, -1885420.50000000, , , 430644.70478,
b9874-Jan-01 00:00:00, -1885055.50000000, , , 430571.15133,
b9873-Jan-01 00:00:00, -1884690.50000000, , , 430497.60417,
b9872-Jan-01 00:00:00, -1884324.50000000, , , 430423.86182,
b9871-Jan-01 00:00:00, -1883959.50000000, , , 430350.32724,
b9870-Jan-01 00:00:00, -1883594.50000000, , , 430276.79894,
b9869-Jan-01 00:00:00, -1883229.50000000, , , 430203.27693,
b9868-Jan-01 00:00:00, -1882863.50000000, , , 430129.55979,
b9867-Jan-01 00:00:00, -1882498.50000000, , , 430056.05036,
b9866-Jan-01 00:00:00, -1882133.50000000, , , 429982.54721,
b9865-Jan-01 00:00:00, -1881768.50000000, , , 429909.05035,
b9864-Jan-01 00:00:00, -1881402.50000000, , , 429835.35843,
b9863-Jan-01 00:00:00, -1881037.50000000, , , 429761.87415,
b9862-Jan-01 00:00:00, -1880672.50000000, , , 429688.39615,
b9861-Jan-01 00:00:00, -1880307.50000000, , , 429614.92443,
b9860-Jan-01 00:00:00, -1879941.50000000, , , 429541.25773,
b9859-Jan-01 00:00:00, -1879576.50000000, , , 429467.79860,
b9858-Jan-01 00:00:00, -1879211.50000000, , , 429394.34575,
b9857-Jan-01 00:00:00, -1878846.50000000, , , 429320.89918,
b9856-Jan-01 00:00:00, -1878480.50000000, , , 429247.25770,
b9855-Jan-01 00:00:00, -1878115.50000000, , , 429173.82372,
b9854-Jan-01 00:00:00, -1877750.50000000, , , 429100.39602,
b9853-Jan-01 00:00:00, -1877385.50000000, , , 429026.97460,
b9852-Jan-01 00:00:00, -1877019.50000000, , , 428953.35833,
b9851-Jan-01 00:00:00, -1876654.50000000, , , 428879.94950,
b9850-Jan-01 00:00:00, -1876289.50000000, , , 428806.54695,
b9849-Jan-01 00:00:00, -1875924.50000000, , , 428733.15068,
b9848-Jan-01 00:00:00, -1875558.50000000, , , 428659.55963,
b9847-Jan-01 00:00:00, -1875193.50000000, , , 428586.17594,
b9846-Jan-01 00:00:00, -1874828.50000000, , , 428512.79854,
b9845-Jan-01 00:00:00, -1874463.50000000, , , 428439.42742,
b9844-Jan-01 00:00:00, -1874097.50000000, , , 428365.86159,
b9843-Jan-01 00:00:00, -1873732.50000000, , , 428292.50305,
b9842-Jan-01 00:00:00, -1873367.50000000, , , 428219.15080,
