

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 11:58:09 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 9998-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 9999-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , ,       TDB-UT,
***********************************************************
$$SOE
b7390-Jan-01 00:00:00, -977774.500000000, , , 267157.18370,
b7389-Jan-01 00:00:00, -977409.500000000, , , 267099.25396,
b7388-Jan-01 00:00:00, -977043.500000000, , , 267041.17182,
b7387-Jan-01 00:00:00, -976678.500000000, , , 266983.25466,
b7386-Jan-01 00:00:00, -976313.500000000, , , 266925.34378,
b7385-Jan-01 00:00:00, -975948.500000000, , , 266867.43919,
b7384-Jan-01 00:00:00, -975582.500000000, , , 266809.38227,
b7383-Jan-01 00:00:00, -975217.500000000, , , 266751.49026,
b7382-Jan-01 00:00:00, -974852.500000000, , , 266693.60453,
b7381-Jan-01 00:00:00, -974487.500000000, , , 266635.72509,
b7380-Jan-01 00:00:00, -974121.500000000, , , 266577.69338,
b7379-Jan-01 00:00:00, -973756.500000000, , , 266519.82652,
b7378-Jan-01 00:00:00, -973391.500000000, , , 266461.96595,
b7377-Jan-01 00:00:00, -973026.500000000, , , 266404.11165,
b7376-Jan-01 00:00:00, -972660.500000000, , , 266346.10516,
b7375-Jan-01 00:00:00, -972295.500000000, , , 266288.26345,
b7374-Jan-01 00:00:00, -971930.500000000, , , 266230.42802,
b7373-Jan-01 00:00:00, -971565.500000000, , , 266172.59888,
b7372-Jan-01 00:00:00, -971199.500000000, , , 266114.61760,
b7371-Jan-01 00:00:00, -970834.500000000, , , 266056.80104,
b7370-Jan-01 00:00:00, -970469.500000000, , , 265998.99076,
b7369-Jan-01 00:00:00, -970104.500000000, , , 265941.18677,
b7368-Jan-01 00:00:00, -969738.500000000, , , 265883.23071,
b7367-Jan-01 00:00:00, -969373.500000000, , , 265825.43930,
b7366-Jan-01 00:00:00, -969008.500000000, , , 265767.65417,
b7365-Jan-01 00:00:00, -968643.500000000, , , 265709.87532,
b7364-Jan-01 00:00:00, -968277.500000000, , , 265651.94448,
b7363-Jan-01 00:00:00, -967912.500000000, , , 265594.17822,
b7362-Jan-01 00:00:00, -967547.500000000, , , 265536.41824,
b7361-Jan-01 00:00:00, -967182.500000000, , , 265478.66454,
b7360-Jan-01 00:00:00, -966816.500000000, , , 265420.75892,
b7359-Jan-01 00:00:00, -966451.500000000, , , 265363.01780,
b7358-Jan-01 00:00:00, -966086.500000000, , , 265305.28297,
b7357-Jan-01 00:00:00, -965721.500000000, , , 265247.55442,
b7356-Jan-01 00:00:00, -965355.500000000, , , 265189.67402,
b7355-Jan-01 00:00:00, -964990.500000000, , , 265131.95805,
b7354-Jan-01 00:00:00, -964625.500000000, , , 265074.24837,
b7353-Jan-01 00:00:00, -964260.500000000, , , 265016.54497,
b7352-Jan-01 00:00:00, -963894.500000000, , , 264958.68978,
b7351-Jan-01 00:00:00, -963529.500000000, , , 264900.99897,
b7350-Jan-01 00:00:00, -963164.500000000, , , 264843.31443,
b7349-Jan-01 00:00:00, -962799.500000000, , , 264785.63618,
b7348-Jan-01 00:00:00, -962433.500000000, , , 264727.80621,
b7347-Jan-01 00:00:00, -962068.500000000, , , 264670.14054,
b7346-Jan-01 00:00:00, -961703.500000000, , , 264612.48116,
b7345-Jan-01 00:00:00, -961338.500000000, , , 264554.82805,
b7344-Jan-01 00:00:00, -960972.500000000, , , 264497.02331,
b7343-Jan-01 00:00:00, -960607.500000000, , , 264439.38279,
b7342-Jan-01 00:00:00, -960242.500000000, , , 264381.74855,
b7341-Jan-01 00:00:00, -959877.500000000, , , 264324.12059,
b7340-Jan-01 00:00:00, -959511.500000000, , , 264266.34106,
b7339-Jan-01 00:00:00, -959146.500000000, , , 264208.72569,
b7338-Jan-01 00:00:00, -958781.500000000, , , 264151.11660,
b7337-Jan-01 00:00:00, -958416.500000000, , , 264093.51380,
b7336-Jan-01 00:00:00, -958050.500000000, , , 264035.75948,
b7335-Jan-01 00:00:00, -957685.500000000, , , 263978.16926,
b7334-Jan-01 00:00:00, -957320.500000000, , , 263920.58532,
b7333-Jan-01 00:00:00, -956955.500000000, , , 263863.00766,
b7332-Jan-01 00:00:00, -956589.500000000, , , 263805.27857,
b7331-Jan-01 00:00:00, -956224.500000000, , , 263747.71350,
b7330-Jan-01 00:00:00, -955859.500000000, , , 263690.15470,
b7329-Jan-01 00:00:00, -955494.500000000, , , 263632.60220,
b7328-Jan-01 00:00:00, -955128.500000000, , , 263574.89832,
b7327-Jan-01 00:00:00, -954763.500000000, , , 263517.35839,
b7326-Jan-01 00:00:00, -954398.500000000, , , 263459.82475,
b7325-Jan-01 00:00:00, -954033.500000000, , , 263402.29739,
b7324-Jan-01 00:00:00, -953667.500000000, , , 263344.61873,
b7323-Jan-01 00:00:00, -953302.500000000, , , 263287.10396,
b7322-Jan-01 00:00:00, -952937.500000000, , , 263229.59546,
b7321-Jan-01 00:00:00, -952572.500000000, , , 263172.09325,
b7320-Jan-01 00:00:00, -952206.500000000, , , 263114.43981,
b7319-Jan-01 00:00:00, -951841.500000000, , , 263056.95018,
b7318-Jan-01 00:00:00, -951476.500000000, , , 262999.46684,
b7317-Jan-01 00:00:00, -951111.500000000, , , 262941.98978,
b7316-Jan-01 00:00:00, -950745.500000000, , , 262884.36155,
b7315-Jan-01 00:00:00, -950380.500000000, , , 262826.89707,
b7314-Jan-01 00:00:00, -950015.500000000, , , 262769.43888,
b7313-Jan-01 00:00:00, -949650.500000000, , , 262711.98697,
b7312-Jan-01 00:00:00, -949284.500000000, , , 262654.38396,
b7311-Jan-01 00:00:00, -948919.500000000, , , 262596.94463,
b7310-Jan-01 00:00:00, -948554.500000000, , , 262539.51158,
b7309-Jan-01 00:00:00, -948189.500000000, , , 262482.08482,
b7308-Jan-01 00:00:00, -947823.500000000, , , 262424.50703,
b7307-Jan-01 00:00:00, -947458.500000000, , , 262367.09285,
b7306-Jan-01 00:00:00, -947093.500000000, , , 262309.68495,
b7305-Jan-01 00:00:00, -946728.500000000, , , 262252.28334,
b7304-Jan-01 00:00:00, -946362.500000000, , , 262194.73077,
b7303-Jan-01 00:00:00, -945997.500000000, , , 262137.34173,
b7302-Jan-01 00:00:00, -945632.500000000, , , 262079.95898,
b7301-Jan-01 00:00:00, -945267.500000000, , , 262022.58252,
b7300-Jan-01 00:00:00, -944901.500000000, , , 261965.05516,
b7299-Jan-01 00:00:00, -944536.500000000, , , 261907.69128,
b7298-Jan-01 00:00:00, -944171.500000000, , , 261850.33368,
b7297-Jan-01 00:00:00, -943806.500000000, , , 261792.98236,
b7296-Jan-01 00:00:00, -943440.500000000, , , 261735.48023,
b7295-Jan-01 00:00:00, -943075.500000000, , , 261678.14149,
b7294-Jan-01 00:00:00, -942710.500000000, , , 261620.80904,
b7293-Jan-01 00:00:00, -942345.500000000, , , 261563.48287,
b7292-Jan-01 00:00:00, -941979.500000000, , , 261506.00596,
b7291-Jan-01 00:00:00, -941614.500000000, , , 261448.69237,
b7290-Jan-01 00:00:00, -941249.500000000, , , 261391.38507,
b7289-Jan-01 00:00:00, -940884.500000000, , , 261334.08405,
b7288-Jan-01 00:00:00, -940518.500000000, , , 261276.63235,
b7287-Jan-01 00:00:00, -940153.500000000, , , 261219.34391,
b7286-Jan-01 00:00:00, -939788.500000000, , , 261162.06176,
b7285-Jan-01 00:00:00, -939423.500000000, , , 261104.78589,
b7284-Jan-01 00:00:00, -939057.500000000, , , 261047.35940,
b7283-Jan-01 00:00:00, -938692.500000000, , , 260990.09611,
b7282-Jan-01 00:00:00, -938327.500000000, , , 260932.83911,
b7281-Jan-01 00:00:00, -937962.500000000, , , 260875.58839,
b7280-Jan-01 00:00:00, -937596.500000000, , , 260818.18712,
b7279-Jan-01 00:00:00, -937231.500000000, , , 260760.94898,
b7278-Jan-01 00:00:00, -936866.500000000, , , 260703.71713,
b7277-Jan-01 00:00:00, -936501.500000000, , , 260646.49155,
b7276-Jan-01 00:00:00, -936135.500000000, , , 260589.11551,
b7275-Jan-01 00:00:00, -935770.500000000, , , 260531.90252,
b7274-Jan-01 00:00:00, -935405.500000000, , , 260474.69581,
b7273-Jan-01 00:00:00, -935040.500000000, , , 260417.49539,
b7272-Jan-01 00:00:00, -934674.500000000, , , 260360.14456,
b7271-Jan-01 00:00:00, -934309.500000000, , , 260302.95671,
b7270-Jan-01 00:00:00, -933944.500000000, , , 260245.77516,
b7269-Jan-01 00:00:00, -933579.500000000, , , 260188.59988,
b7268-Jan-01 00:00:00, -933213.500000000, , , 260131.27427,
b7267-Jan-01 00:00:00, -932848.500000000, , , 260074.11158,
b7266-Jan-01 00:00:00, -932483.500000000, , , 260016.95517,
b7265-Jan-01 00:00:00, -932118.500000000, , , 259959.80504,
b7264-Jan-01 00:00:00, -931752.500000000, , , 259902.50465,
b7263-Jan-01 00:00:00, -931387.500000000, , , 259845.36710,
b7262-Jan-01 00:00:00, -931022.500000000, , , 259788.23584,
b7261-Jan-01 00:00:00, -930657.500000000, , , 259731.11086,
b7260-Jan-01 00:00:00, -930291.500000000, , , 259673.83569,
b7259-Jan-01 00:00:00, -929926.500000000, , , 259616.72329,
b7258-Jan-01 00:00:00, -929561.500000000, , , 259559.61718,
b7257-Jan-01 00:00:00, -929196.500000000, , , 259502.51735,
b7256-Jan-01 00:00:00, -928830.500000000, , , 259445.26739,
b7255-Jan-01 00:00:00, -928465.500000000, , , 259388.18015,
b7254-Jan-01 00:00:00, -928100.500000000, , , 259331.09918,
b7253-Jan-01 00:00:00, -927735.500000000, , , 259274.02450,
b7252-Jan-01 00:00:00, -927369.500000000, , , 259216.79976,
b7251-Jan-01 00:00:00, -927004.500000000, , , 259159.73766,
b7250-Jan-01 00:00:00, -926639.500000000, , , 259102.68185,
b7249-Jan-01 00:00:00, -926274.500000000, , , 259045.63232,
b7248-Jan-01 00:00:00, -925908.500000000, , , 258988.43280,
b7247-Jan-01 00:00:00, -925543.500000000, , , 258931.39585,
b7246-Jan-01 00:00:00, -925178.500000000, , , 258874.36518,
b7245-Jan-01 00:00:00, -924813.500000000, , , 258817.34080,
b7244-Jan-01 00:00:00, -924447.500000000, , , 258760.16649,
b7243-Jan-01 00:00:00, -924082.500000000, , , 258703.15469,
b7242-Jan-01 00:00:00, -923717.500000000, , , 258646.14918,
b7241-Jan-01 00:00:00, -923352.500000000, , , 258589.14994,
b7240-Jan-01 00:00:00, -922986.500000000, , , 258532.00086,
b7239-Jan-01 00:00:00, -922621.500000000, , , 258475.01421,
b7238-Jan-01 00:00:00, -922256.500000000, , , 258418.03384,
b7237-Jan-01 00:00:00, -921891.500000000, , , 258361.05975,
b7236-Jan-01 00:00:00, -921525.500000000, , , 258303.93588,
b7235-Jan-01 00:00:00, -921160.500000000, , , 258246.97438,
b7234-Jan-01 00:00:00, -920795.500000000, , , 258190.01916,
b7233-Jan-01 00:00:00, -920430.500000000, , , 258133.07023,
b7232-Jan-01 00:00:00, -920064.500000000, , , 258075.97157,
b7231-Jan-01 00:00:00, -919699.500000000, , , 258019.03522,
b7230-Jan-01 00:00:00, -919334.500000000, , , 257962.10515,
b7229-Jan-01 00:00:00, -918969.500000000, , , 257905.18136,
b7228-Jan-01 00:00:00, -918603.500000000, , , 257848.10793,
b7227-Jan-01 00:00:00, -918238.500000000, , , 257791.19672,
b7226-Jan-01 00:00:00, -917873.500000000, , , 257734.29180,
b7225-Jan-01 00:00:00, -917508.500000000, , , 257677.39316,
b7224-Jan-01 00:00:00, -917142.500000000, , , 257620.34495,
b7223-Jan-01 00:00:00, -916777.500000000, , , 257563.45889,
b7222-Jan-01 00:00:00, -916412.500000000, , , 257506.57912,
b7221-Jan-01 00:00:00, -916047.500000000, , , 257449.70563,
b7220-Jan-01 00:00:00, -915681.500000000, , , 257392.68263,
b7219-Jan-01 00:00:00, -915316.500000000, , , 257335.82172,
b7218-Jan-01 00:00:00, -914951.500000000, , , 257278.96710,
b7217-Jan-01 00:00:00, -914586.500000000, , , 257222.11876,
b7216-Jan-01 00:00:00, -914220.500000000, , , 257165.12098,
b7215-Jan-01 00:00:00, -913855.500000000, , , 257108.28522,
b7214-Jan-01 00:00:00, -913490.500000000, , , 257051.45575,
b7213-Jan-01 00:00:00, -913125.500000000, , , 256994.63255,
b7212-Jan-01 00:00:00, -912759.500000000, , , 256937.65999,
b7211-Jan-01 00:00:00, -912394.500000000, , , 256880.84938,
b7210-Jan-01 00:00:00, -912029.500000000, , , 256824.04505,
b7209-Jan-01 00:00:00, -911664.500000000, , , 256767.24701,
b7208-Jan-01 00:00:00, -911298.500000000, , , 256710.29967,
b7207-Jan-01 00:00:00, -910933.500000000, , , 256653.51421,
b7206-Jan-01 00:00:00, -910568.500000000, , , 256596.73503,
b7205-Jan-01 00:00:00, -910203.500000000, , , 256539.96213,
b7204-Jan-01 00:00:00, -909837.500000000, , , 256483.04001,
b7203-Jan-01 00:00:00, -909472.500000000, , , 256426.27969,
b7202-Jan-01 00:00:00, -909107.500000000, , , 256369.52567,
b7201-Jan-01 00:00:00, -908742.500000000, , , 256312.77792,
b7200-Jan-01 00:00:00, -908376.500000000, , , 256255.88101,
b7199-Jan-01 00:00:00, -908011.500000000, , , 256199.14585,
b7198-Jan-01 00:00:00, -907646.500000000, , , 256142.41697,
b7197-Jan-01 00:00:00, -907281.500000000, , , 256085.69437,
b7196-Jan-01 00:00:00, -906915.500000000, , , 256028.82268,
b7195-Jan-01 00:00:00, -906550.500000000, , , 255972.11267,
b7194-Jan-01 00:00:00, -906185.500000000, , , 255915.40893,
b7193-Jan-01 00:00:00, -905820.500000000, , , 255858.71149,
b7192-Jan-01 00:00:00, -905454.500000000, , , 255801.86501,
b7191-Jan-01 00:00:00, -905089.500000000, , , 255745.18015,
b7190-Jan-01 00:00:00, -904724.500000000, , , 255688.50157,
b7189-Jan-01 00:00:00, -904359.500000000, , , 255631.82927,
b7188-Jan-01 00:00:00, -903993.500000000, , , 255575.00801,
b7187-Jan-01 00:00:00, -903628.500000000, , , 255518.34829,
b7186-Jan-01 00:00:00, -903263.500000000, , , 255461.69486,
b7185-Jan-01 00:00:00, -902898.500000000, , , 255405.04771,
b7184-Jan-01 00:00:00, -902532.500000000, , , 255348.25167,
b7183-Jan-01 00:00:00, -902167.500000000, , , 255291.61710,
b7182-Jan-01 00:00:00, -901802.500000000, , , 255234.98882,
b7181-Jan-01 00:00:00, -901437.500000000, , , 255178.36682,
b7180-Jan-01 00:00:00, -901071.500000000, , , 255121.59600,
b7179-Jan-01 00:00:00, -900706.500000000, , , 255064.98658,
b7178-Jan-01 00:00:00, -900341.500000000, , , 255008.38344,
b7177-Jan-01 00:00:00, -899976.500000000, , , 254951.78659,
b7176-Jan-01 00:00:00, -899610.500000000, , , 254895.04099,
b7175-Jan-01 00:00:00, -899245.500000000, , , 254838.45672,
b7174-Jan-01 00:00:00, -898880.500000000, , , 254781.87873,
b7173-Jan-01 00:00:00, -898515.500000000, , , 254725.30703,
b7172-Jan-01 00:00:00, -898149.500000000, , , 254668.58664,
b7171-Jan-01 00:00:00, -897784.500000000, , , 254612.02752,
b7170-Jan-01 00:00:00, -897419.500000000, , , 254555.47468,
b7169-Jan-01 00:00:00, -897054.500000000, , , 254498.92813,
b7168-Jan-01 00:00:00, -896688.500000000, , , 254442.23296,
b7167-Jan-01 00:00:00, -896323.500000000, , , 254385.69899,
b7166-Jan-01 00:00:00, -895958.500000000, , , 254329.17130,
b7165-Jan-01 00:00:00, -895593.500000000, , , 254272.64989,
b7164-Jan-01 00:00:00, -895227.500000000, , , 254215.97994,
b7163-Jan-01 00:00:00, -894862.500000000, , , 254159.47112,
b7162-Jan-01 00:00:00, -894497.500000000, , , 254102.96858,
b7161-Jan-01 00:00:00, -894132.500000000, , , 254046.47232,
b7160-Jan-01 00:00:00, -893766.500000000, , , 253989.82759,
b7159-Jan-01 00:00:00, -893401.500000000, , , 253933.34391,
b7158-Jan-01 00:00:00, -893036.500000000, , , 253876.86652,
b7157-Jan-01 00:00:00, -892671.500000000, , , 253820.39541,
b7156-Jan-01 00:00:00, -892305.500000000, , , 253763.77590,
b7155-Jan-01 00:00:00, -891940.500000000, , , 253707.31737,
b7154-Jan-01 00:00:00, -891575.500000000, , , 253650.86513,
b7153-Jan-01 00:00:00, -891210.500000000, , , 253594.41917,
b7152-Jan-01 00:00:00, -890844.500000000, , , 253537.82487,
b7151-Jan-01 00:00:00, -890479.500000000, , , 253481.39150,
b7150-Jan-01 00:00:00, -890114.500000000, , , 253424.96440,
b7149-Jan-01 00:00:00, -889749.500000000, , , 253368.54359,
b7148-Jan-01 00:00:00, -889383.500000000, , , 253311.97451,
b7147-Jan-01 00:00:00, -889018.500000000, , , 253255.56628,
b7146-Jan-01 00:00:00, -888653.500000000, , , 253199.16434,
b7145-Jan-01 00:00:00, -888288.500000000, , , 253142.76868,
b7144-Jan-01 00:00:00, -887922.500000000, , , 253086.22481,
b7143-Jan-01 00:00:00, -887557.500000000, , , 253029.84174,
b7142-Jan-01 00:00:00, -887192.500000000, , , 252973.46494,
b7141-Jan-01 00:00:00, -886827.500000000, , , 252917.09443,
b7140-Jan-01 00:00:00, -886461.500000000, , , 252860.57578,
b7139-Jan-01 00:00:00, -886096.500000000, , , 252804.21785,
b7138-Jan-01 00:00:00, -885731.500000000, , , 252747.86620,
b7137-Jan-01 00:00:00, -885366.500000000, , , 252691.52084,
b7136-Jan-01 00:00:00, -885000.500000000, , , 252635.02741,
b7135-Jan-01 00:00:00, -884635.500000000, , , 252578.69463,
b7134-Jan-01 00:00:00, -884270.500000000, , , 252522.36813,
b7133-Jan-01 00:00:00, -883905.500000000, , , 252466.04792,
b7132-Jan-01 00:00:00, -883539.500000000, , , 252409.57971,
b7131-Jan-01 00:00:00, -883174.500000000, , , 252353.27208,
b7130-Jan-01 00:00:00, -882809.500000000, , , 252296.97073,
b7129-Jan-01 00:00:00, -882444.500000000, , , 252240.67566,
b7128-Jan-01 00:00:00, -882078.500000000, , , 252184.23267,
b7127-Jan-01 00:00:00, -881713.500000000, , , 252127.95019,
b7126-Jan-01 00:00:00, -881348.500000000, , , 252071.67399,
b7125-Jan-01 00:00:00, -880983.500000000, , , 252015.40407,
b7124-Jan-01 00:00:00, -880617.500000000, , , 251958.98629,
b7123-Jan-01 00:00:00, -880252.500000000, , , 251902.72896,
b7122-Jan-01 00:00:00, -879887.500000000, , , 251846.47791,
b7121-Jan-01 00:00:00, -879522.500000000, , , 251790.23314,
b7120-Jan-01 00:00:00, -879156.500000000, , , 251733.84058,
b7119-Jan-01 00:00:00, -878791.500000000, , , 251677.60840,
b7118-Jan-01 00:00:00, -878426.500000000, , , 251621.38249,
b7117-Jan-01 00:00:00, -878061.500000000, , , 251565.16287,
b7116-Jan-01 00:00:00, -877695.500000000, , , 251508.79554,
b7115-Jan-01 00:00:00, -877330.500000000, , , 251452.58850,
b7114-Jan-01 00:00:00, -876965.500000000, , , 251396.38774,
b7113-Jan-01 00:00:00, -876600.500000000, , , 251340.19327,
b7112-Jan-01 00:00:00, -876234.500000000, , , 251283.85115,
b7111-Jan-01 00:00:00, -875869.500000000, , , 251227.66926,
b7110-Jan-01 00:00:00, -875504.500000000, , , 251171.49366,
b7109-Jan-01 00:00:00, -875139.500000000, , , 251115.32434,
b7108-Jan-01 00:00:00, -874773.500000000, , , 251059.00743,
b7107-Jan-01 00:00:00, -874408.500000000, , , 251002.85069,
b7106-Jan-01 00:00:00, -874043.500000000, , , 250946.70024,
b7105-Jan-01 00:00:00, -873678.500000000, , , 250890.55606,
b7104-Jan-01 00:00:00, -873312.500000000, , , 250834.26438,
b7103-Jan-01 00:00:00, -872947.500000000, , , 250778.13279,
b7102-Jan-01 00:00:00, -872582.500000000, , , 250722.00748,
b7101-Jan-01 00:00:00, -872217.500000000, , , 250665.88846,
b7100-Jan-01 00:00:00, -871851.500000000, , , 250609.62199,
b7099-Jan-01 00:00:00, -871486.500000000, , , 250553.51555,
b7098-Jan-01 00:00:00, -871121.500000000, , , 250497.41539,
b7097-Jan-01 00:00:00, -870756.500000000, , , 250441.32151,
b7096-Jan-01 00:00:00, -870390.500000000, , , 250385.08026,
b7095-Jan-01 00:00:00, -870025.500000000, , , 250328.99897,
b7094-Jan-01 00:00:00, -869660.500000000, , , 250272.92396,
b7093-Jan-01 00:00:00, -869295.500000000, , , 250216.85523,
b7092-Jan-01 00:00:00, -868929.500000000, , , 250160.63920,
b7091-Jan-01 00:00:00, -868564.500000000, , , 250104.58306,
b7090-Jan-01 00:00:00, -868199.500000000, , , 250048.53320,
b7089-Jan-01 00:00:00, -867834.500000000, , , 249992.48962,
b7088-Jan-01 00:00:00, -867468.500000000, , , 249936.29880,
b7087-Jan-01 00:00:00, -867103.500000000, , , 249880.26781,
b7086-Jan-01 00:00:00, -866738.500000000, , , 249824.24310,
b7085-Jan-01 00:00:00, -866373.500000000, , , 249768.22467,
b7084-Jan-01 00:00:00, -866007.500000000, , , 249712.05907,
b7083-Jan-01 00:00:00, -865642.500000000, , , 249656.05322,
b7082-Jan-01 00:00:00, -865277.500000000, , , 249600.05366,
b7081-Jan-01 00:00:00, -864912.500000000, , , 249544.06038,
b7080-Jan-01 00:00:00, -864546.500000000, , , 249487.92000,
b7079-Jan-01 00:00:00, -864181.500000000, , , 249431.93930,
b7078-Jan-01 00:00:00, -863816.500000000, , , 249375.96489,
b7077-Jan-01 00:00:00, -863451.500000000, , , 249319.99676,
b7076-Jan-01 00:00:00, -863085.500000000, , , 249263.88160,
b7075-Jan-01 00:00:00, -862720.500000000, , , 249207.92605,
b7074-Jan-01 00:00:00, -862355.500000000, , , 249151.97678,
b7073-Jan-01 00:00:00, -861990.500000000, , , 249096.03380,
b7072-Jan-01 00:00:00, -861624.500000000, , , 249039.94385,
b7071-Jan-01 00:00:00, -861259.500000000, , , 248984.01345,
b7070-Jan-01 00:00:00, -860894.500000000, , , 248928.08934,
b7069-Jan-01 00:00:00, -860529.500000000, , , 248872.17150,
b7068-Jan-01 00:00:00, -860163.500000000, , , 248816.10678,
b7067-Jan-01 00:00:00, -859798.500000000, , , 248760.20153,
b7066-Jan-01 00:00:00, -859433.500000000, , , 248704.30256,
b7065-Jan-01 00:00:00, -859068.500000000, , , 248648.40987,
b7064-Jan-01 00:00:00, -858702.500000000, , , 248592.37037,
b7063-Jan-01 00:00:00, -858337.500000000, , , 248536.49026,
b7062-Jan-01 00:00:00, -857972.500000000, , , 248480.61644,
b7061-Jan-01 00:00:00, -857607.500000000, , , 248424.74891,
b7060-Jan-01 00:00:00, -857241.500000000, , , 248368.73462,
b7059-Jan-01 00:00:00, -856876.500000000, , , 248312.87966,
b7058-Jan-01 00:00:00, -856511.500000000, , , 248257.03099,
b7057-Jan-01 00:00:00, -856146.500000000, , , 248201.18861,
b7056-Jan-01 00:00:00, -855780.500000000, , , 248145.19953,
b7055-Jan-01 00:00:00, -855415.500000000, , , 248089.36973,
b7054-Jan-01 00:00:00, -855050.500000000, , , 248033.54621,
b7053-Jan-01 00:00:00, -854685.500000000, , , 247977.72897,
b7052-Jan-01 00:00:00, -854319.500000000, , , 247921.76511,
b7051-Jan-01 00:00:00, -853954.500000000, , , 247865.96046,
b7050-Jan-01 00:00:00, -853589.500000000, , , 247810.16208,
b7049-Jan-01 00:00:00, -853224.500000000, , , 247754.36999,
b7048-Jan-01 00:00:00, -852858.500000000, , , 247698.43136,
b7047-Jan-01 00:00:00, -852493.500000000, , , 247642.65185,
b7046-Jan-01 00:00:00, -852128.500000000, , , 247586.87863,
b7045-Jan-01 00:00:00, -851763.500000000, , , 247531.11169,
b7044-Jan-01 00:00:00, -851397.500000000, , , 247475.19827,
b7043-Jan-01 00:00:00, -851032.500000000, , , 247419.44391,
b7042-Jan-01 00:00:00, -850667.500000000, , , 247363.69583,
b7041-Jan-01 00:00:00, -850302.500000000, , , 247307.95404,
b7040-Jan-01 00:00:00, -849936.500000000, , , 247252.06584,
b7039-Jan-01 00:00:00, -849571.500000000, , , 247196.33663,
b7038-Jan-01 00:00:00, -849206.500000000, , , 247140.61370,
b7037-Jan-01 00:00:00, -848841.500000000, , , 247084.89706,
b7036-Jan-01 00:00:00, -848475.500000000, , , 247029.03408,
b7035-Jan-01 00:00:00, -848110.500000000, , , 246973.33002,
b7034-Jan-01 00:00:00, -847745.500000000, , , 246917.63224,
b7033-Jan-01 00:00:00, -847380.500000000, , , 246861.94074,
b7032-Jan-01 00:00:00, -847014.500000000, , , 246806.10298,
b7031-Jan-01 00:00:00, -846649.500000000, , , 246750.42407,
b7030-Jan-01 00:00:00, -846284.500000000, , , 246694.75144,
b7029-Jan-01 00:00:00, -845919.500000000, , , 246639.08509,
b7028-Jan-01 00:00:00, -845553.500000000, , , 246583.27254,
b7027-Jan-01 00:00:00, -845188.500000000, , , 246527.61878,
b7026-Jan-01 00:00:00, -844823.500000000, , , 246471.97130,
b7025-Jan-01 00:00:00, -844458.500000000, , , 246416.33010,
b7024-Jan-01 00:00:00, -844092.500000000, , , 246360.54277,
b7023-Jan-01 00:00:00, -843727.500000000, , , 246304.91416,
b7022-Jan-01 00:00:00, -843362.500000000, , , 246249.29183,
b7021-Jan-01 00:00:00, -842997.500000000, , , 246193.67578,
b7020-Jan-01 00:00:00, -842631.500000000, , , 246137.91367,
b7019-Jan-01 00:00:00, -842266.500000000, , , 246082.31020,
b7018-Jan-01 00:00:00, -841901.500000000, , , 246026.71302,
b7017-Jan-01 00:00:00, -841536.500000000, , , 245971.12212,
b7016-Jan-01 00:00:00, -841170.500000000, , , 245915.38523,
b7015-Jan-01 00:00:00, -840805.500000000, , , 245859.80691,
b7014-Jan-01 00:00:00, -840440.500000000, , , 245804.23488,
b7013-Jan-01 00:00:00, -840075.500000000, , , 245748.66912,
b7012-Jan-01 00:00:00, -839709.500000000, , , 245692.95745,
b7011-Jan-01 00:00:00, -839344.500000000, , , 245637.40428,
b7010-Jan-01 00:00:00, -838979.500000000, , , 245581.85740,
b7009-Jan-01 00:00:00, -838614.500000000, , , 245526.31679,
b7008-Jan-01 00:00:00, -838248.500000000, , , 245470.63033,
b7007-Jan-01 00:00:00, -837883.500000000, , , 245415.10232,
