1999,2451258.574720046
1998,2450893.3300417867
1997,2450528.0804342194
1996,2450162.8359693456
1995,2449797.5938553778
1994,2449432.353835414
1993,2449067.1121512596
1992,2448701.8679377227
1991,2448336.6267340668
1990,2447971.389210281
1989,2447606.145096369
1988,2447240.9021417275
1987,2446875.6620661616
1986,2446510.4188417247
1985,2446145.1772427494
1984,2445779.934065281
1983,2445414.6942694094
1982,2445049.456313875
1981,2444684.2105914108
1980,2444318.965958402
1979,2443953.7236456745
1978,2443588.482425709
1977,2443223.2382369405
1976,2442857.9934031586
1975,2442492.748563
1974,2442127.504901826
1973,2441762.2593154353
1972,2441397.0148631474
1971,2441031.7770786607
1970,2440666.539635784
1969,2440301.2977966242
1968,2439936.057909935
1967,2439570.817307105
1966,2439205.5791959725
1965,2438840.3366644504
1964,2438475.090582169
1963,2438109.8474315153
1962,2437744.6039741766
1961,2437379.356422783
1960,2437014.1130067674
1959,2436648.8719394836
1958,2436283.62942476
1957,2435918.386716289
1956,2435553.1395242065
1955,2435187.8992717955
1954,2434822.6627069926
1953,2434457.4171514427
1952,2434092.177026831
1951,2433726.9349402236
1950,2433361.691376522
1949,2432996.450457013
1948,2432631.2058381354
1947,2432265.967687778
1946,2431900.731094893
1945,2431535.4847401683
1944,2431170.2425142904
1943,2430805.001878342
1942,2430439.7580434345
1941,2430074.5139516727
1940,2429709.267060457
1939,2429344.0198082584
1938,2428978.7801368358
1937,2428613.5317799905
1936,2428248.290251303
1935,2427883.0547333546
1934,2427517.8111731065
1933,2427152.5720879785
1932,2426787.328857222
1931,2426422.0876717847
1930,2426056.854384153
1929,2425691.6075335
1928,2425326.3648792864
1927,2424961.1244537975
1926,2424595.876307082
1925,2424230.6335611185
1924,2423865.3888852503
1923,2423500.145489616
1922,2423134.9086495307
1921,2422769.661200289
1920,2422404.416289908
1919,2422039.1802458777
1918,2421673.934893346
1917,2421308.692440003
1916,2420943.4497239194
1915,2420578.2020210684
1914,2420212.966110409
1913,2419847.7208332075
1912,2419482.478923875
1911,2419117.2466118657
1910,2418752.002047227
1909,2418386.759484785
1908,2418021.5185314436
1907,2417656.2730035568
1906,2417291.036581462
1905,2416925.789986819
1904,2416560.5411930797
1903,2416195.301687879
1902,2415830.0535971737
1901,2415464.807663306
1900,2415099.5687226094
1899,2414734.3234734097
1898,2414369.0876122736
1897,2414003.8450234397
1896,2413638.5992346453
1895,2413273.367848007
1894,2412908.1244737403
1893,2412542.880874961
1892,2412177.640401482
1891,2411812.39185049
1890,2411447.153632852
1889,2411081.909909375
1888,2410716.6641459675
1887,2410351.429549366
1886,2409986.1850629277
1885,2409620.9374580053
1884,2409255.6969996383
1883,2408890.4513742193
1882,2408525.2111244616
1881,2408159.9682490104
1880,2407794.7179631446
1879,2407429.480379563
1878,2407064.2383104623
1877,2406698.991088069
1876,2406333.757094023
1875,2405968.5144853573
1874,2405603.2762673195
1873,2405238.036494173
1872,2404872.789456938
1871,2404507.5556533113
1870,2404142.313619923
1869,2403777.0643010493
1868,2403411.821833526
1867,2403046.5737015805
1866,2402681.3296544505
1865,2402316.087075784
1864,2401950.8407703964
1863,2401585.6040606536
1862,2401220.363371896
1861,2400855.1156047434
1860,2400489.877776583
1859,2400124.6378870117
1858,2399759.39650475
1857,2399394.156775913
1856,2399028.9089125353
1855,2398663.67031487
1854,2398298.4305460667
1853,2397933.1829728456
1852,2397567.945574346
1851,2397202.7039213683
1850,2396837.4599432196
1849,2396472.216961184
1848,2396106.970607965
1847,2395741.730859675
1846,2395376.4898137194
1845,2395011.239089877
1844,2394645.995283251
1843,2394280.7531191474
1842,2393915.508642871
1841,2393550.2693615397
1840,2393185.028548606
1839,2392819.7910129023
1838,2392454.554009583
1837,2392089.3075623806
1836,2391724.068608029
1835,2391358.830265761
1834,2390993.5859814067
1833,2390628.3420076915
1832,2390263.0944943954
1831,2389897.851858441
1830,2389532.6086734976
1829,2389167.3625885514
